Irms,VibrationMag
0.324017048,0.064349882
0.32523945,0.049450625
0.318234772,0.073809147
0.313599855,0.096463658
0.310440421,0.085509367
0.311010242,0.062509954
0.305683255,0.0913736
0.295434892,0.071229845
0.302460581,0.053331822
0.306458563,0.085305072
0.301854819,0.078204811
0.297504455,0.074557148
0.290649533,0.066195384
0.303179175,0.074366272
0.294571281,0.078609161
0.290806294,0.095612437
0.286760807,0.087028511
0.287198573,0.082879983
0.29020378,0.075505733
0.28750658,0.071680002
