time,Irms,VibrationMag
1337.796,0.303684712,0.03621611
1338.797,0.30060643,0.056023423
1339.795,0.307242662,0.069711238
1340.796,0.308458835,0.075327784
1341.797,0.309300005,0.048889365
1342.795,0.305227697,0.037532892
1343.796,0.318616301,0.059238687
1344.796,0.318381757,0.031054795
1345.797,0.316412062,0.041533012
1346.796,0.30848226,0.062455427
1347.796,0.3073273,0.05550918
1348.797,0.309566855,0.028631913
1349.796,0.314722091,0.054063454
1350.797,0.312012702,0.051881462
1351.796,0.309985161,0.058824133
1352.796,0.308556706,0.04060116
1353.796,0.314195991,0.045295104
1354.796,0.320171565,0.062922962
1355.796,0.309697419,0.073284298
1356.796,0.309249193,0.065400042
1357.796,0.309464067,0.069084711
1358.797,0.313034266,0.058544893
1359.796,0.304544717,0.057136316
1360.796,0.301148653,0.06043331
1361.796,0.302674294,0.070653401
1362.795,0.284543037,0.071435384
1363.796,0.280553758,0.069665506
1364.797,0.274017423,0.054636747
1365.796,0.259594768,0.03742655
1366.796,0.239023462,0.049622674
1367.797,0.230022565,0.071613967
1368.797,0.226992995,0.059038401
1369.796,0.221274346,0.06662675
1370.796,0.225557387,0.068010636
1371.796,0.237916917,0.048462525
1372.796,0.249416187,0.06744983
1373.796,0.255304992,0.04810521
1374.797,0.265840054,0.052732002
1375.796,0.283478856,0.069177777
1376.796,0.305546761,0.046844464
1377.796,0.305701733,0.060556859
1378.796,0.311749309,0.036937356
1379.796,0.313532621,0.049538154
1380.796,0.309647381,0.054802399
1381.797,0.316364378,0.055558812
1382.796,0.316525191,0.061886359
1383.795,0.314901412,0.065087959
1384.796,0.313717783,0.0822623
1385.797,0.304785371,0.056331385
1386.796,0.303277642,0.074836023
1387.796,0.310442001,0.060947031
1388.796,0.300474376,0.048085827
1389.796,0.311352611,0.054565448
1390.796,0.233767927,0.069314919
1391.796,0.314329565,0.037549268
1392.796,0.235932201,0.043355342
1393.796,0.312305421,0.057178408
1394.796,0.306978822,0.038618315
1395.796,0.305380881,0.052713554
1396.796,0.309072942,0.058891807
1397.796,0.306758463,0.064066701
1398.796,0.306916833,0.053263128
1399.796,0.308936924,0.055781007
1400.796,0.318378359,0.082609929
1401.797,0.31307593,0.053069338
1402.796,0.322070152,0.050131887
1403.796,0.322233439,0.066474162
