Xaccel,Yaccel,Zaccel
-896,-64,960
-3520,-512,2688
-2880,-320,2304
-2880,-320,2304
1792,1088,704
3008,1536,256
1216,704,448
-3840,-576,3008
-1152,-64,1280
1536,1088,192
1152,512,448
-2112,-256,1792
-2112,-256,1792
-3648,-512,2816
960,960,256
2816,1536,384
1792,1024,576
-3648,-576,2496
-2176,-192,1280
512,704,192
2304,1152,512
2304,1152,512
-1280,-64,1664
-3648,-704,2624
-2624,512,-128
2304,1280,768
3200,1344,640
-192,192,2112
-192,192,2112
-3840,-512,2432
-1216,-128,832
2240,1088,640
192,256,64
-3904,-1024,2304
-3968,-768,3136
3648,1728,384
2816,1280,-192
2816,1280,-192
-1280,-128,1216
-3072,-576,1856
320,576,256
3392,1728,704
-1344,-256,1024
-4416,-1024,2688
-2880,-576,2176
4288,1856,256
4288,1856,256
832,448,192
-3072,-576,2112
-1088,-64,576
2496,1280,448
3840,1792,256
-3392,-768,2560
-4096,-704,3008
-832,0,640
3840,1792,192
3840,1792,192
704,384,960
-2816,-640,2048
-1408,-192,640
1600,1024,384
4288,1792,-192
-2944,-640,2496
-4160,-832,3008
-4160,-832,3008
-1408,-256,832
1536,1728,64
1856,960,512
-1344,-64,1472
-3840,-704,2304
-64,320,576
3072,1344,640
3328,1408,192
3328,1408,192
-3840,-576,2304
-3584,-448,1984
64,192,896
3456,1536,-192
-512,0,576
-3648,-832,2240
-128,128,768
3712,1600,768
3712,1600,768
3584,1536,-192
-4224,-768,1664
-3136,-512,1600
1024,640,896
2624,1280,704
-1600,-256,1216
-4352,-768,1664
768,384,704
768,384,704
3648,1344,896
2368,1216,192
-3264,-448,1920
-3328,-384,2112
-384,192,768
3712,1536,384
-64,128,704
-3392,-704,1472
-3392,-704,1472
-1216,-192,768
2304,1024,768
3840,1664,640
768,-320,1664
-3840,-576,2752
-1856,-256,1280
1024,768,320
2304,1088,384
2304,1088,384
-1280,-128,1600
-3776,-512,2688
256,384,256
3328,1472,640
2752,1216,384
-3200,-512,2496
-3328,-320,2432
-640,0,1024
-640,0,1024
3776,1600,448
1088,512,256
-2624,-256,1728
-1728,-192,896
1664,832,320
4032,1728,64
-2752,-384,2112
-4032,-448,2624
-4032,-448,2624
-1280,-256,896
3904,1600,768
2048,960,64
-1792,-192,1792
-2752,-448,1920
768,512,128
4288,1536,256
-1792,0,1728
-1792,0,1728
-4032,-512,2752
-2432,-256,1984
3328,1536,704
3072,1280,128
-896,64,1152
-4160,-448,2432
512,320,384
512,320,384
4352,1664,384
3136,1280,1280
-4736,-768,2624
-3072,-576,2048
1216,512,256
2816,1280,-192
-832,64,1024
-3776,-512,2176
0,-512,512
0,256,512
3008,1344,576
3392,1472,192
-2880,-256,1792
-3520,-256,2688
-768,256,512
3520,1536,-128
-256,256,704
-256,256,704
-3136,-320,2624
-512,256,512
1792,1088,512
3008,1536,256
-2048,-64,1920
-3264,-256,2688
-1600,0,1216
2944,1472,320
2944,1472,320
2048,960,64
-1344,0,1856
-2496,-192,1728
192,512,192
2880,1344,320
192,128,1344
-3328,-512,2304
-4160,-512,2368
-1024,-512,640
-1024,1472,640
5120,1792,-256
-832,-256,960
-5376,-960,2304
704,256,192
3840,1536,768
3392,1472,256
-3584,-448,1792
-3840,-384,2752
-3840,-384,2752
-768,256,832
4160,1792,0
768,512,64
-2880,-320,1984
