-576,-256,1408
-320,-128,1280
-320,-128,1280
-64,-64,1024
256,256,1280
192,192,1472
-256,-64,1664
-896,-512,1280
-448,-192,1088
256,-64,1024
448,256,1408
448,256,1408
64,0,1536
-448,-256,1536
-768,-320,1280
-320,-64,1280
256,0,960
704,256,1408
128,0,1472
-384,-256,1600
-1024,-256,1600
-1024,-384,1600
-448,-192,1216
256,-64,1024
768,320,1088
256,192,1472
-256,-192,1664
-1024,-512,1664
-512,-256,1280
256,64,1024
256,64,1024
832,320,1088
256,192,1472
-320,-192,1728
-1152,-576,1728
-320,-256,1280
384,0,1024
1024,448,1088
192,64,1536
192,64,1536
-320,-256,1728
-1088,-448,1792
-384,-256,1216
384,0,960
1024,512,1024
128,128,1600
-384,-256,1920
-1216,-576,1728
-1216,-576,1728
-256,-256,1152
448,128,960
1088,640,1088
192,0,1472
-256,-320,1792
-1088,-256,1920
-1088,-64,1216
384,128,1024
1024,128,1024
1024,448,1024
768,576,1280
-320,-256,1600
-960,-256,1920
-1152,-512,1792
256,128,1024
768,256,1024
768,448,1280
-256,-192,1664
-256,-192,1664
-768,-384,1792
-1280,-448,1728
128,-128,960
768,256,1088
1088,640,1280
-128,-192,1600
-640,-256,1792
-640,-256,1792
-1280,-512,1728
-64,-128,1088
640,256,960
1024,640,1280
0,-192,1536
-512,-256,1792
-1280,-512,1792
-256,-128,1280
512,64,1088
512,64,1088
1216,704,1088
0,-64,1472
-576,-256,1792
-1152,-448,1792
-256,-64,1216
256,128,1088
768,320,1088
768,64,1408
-320,-128,1728
-320,-128,1728
-960,-320,1792
-960,-512,1216
384,256,1024
960,448,1152
704,512,1280
704,512,1280
-384,-256,1792
-1024,-448,1792
-768,-384,1536
384,128,1088
896,448,1024
512,512,1280
-256,-192,1600
-1024,-256,1792
-1024,-256,1536
-1024,-448,1536
320,0,960
896,448,1152
704,512,1280
-256,-256,1664
-1024,-320,1728
-1024,-384,1536
256,64,1216
256,64,1216
896,320,1152
768,512,1344
-320,-256,1728
-1024,-320,1728
-896,-448,1472
256,0,1088
768,448,1024
704,512,1280
704,512,1280
-256,-256,1536
-576,-192,1728
-1024,-448,1728
-704,-192,960
704,320,1024
960,640,1280
384,192,1536
-640,-256,1728
-640,-256,1728
-1088,-512,1600
-320,-256,1280
448,256,1088
832,512,1280
